RA,DEC,COADD_OBJECT_ID,DNF_ZMC_MOF,DNF_ZMC_SOF,DNF_ZMEAN_MOF,DNF_ZMEAN_SOF,DNF_ZSIGMA_MOF,DNF_ZSIGMA_SOF,EXTENDED_CLASS_MASH_SOF,FLAGS_FOOTPRINT,FLAGS_FOREGROUND,FLAGS_GOLD,SOF_CM_MAG_CORRECTED_G,SOF_CM_MAG_CORRECTED_I,SOF_CM_MAG_CORRECTED_R,SOF_CM_MAG_CORRECTED_Z,SOURCE,Z,ERR_Z,GminusR,GminusI,GminusZ,RminusI,RminusZ,IminusZ,C:objID
35.019108,-6.880709,104412301,0.30149999,0.30149999,0.30149999,0.30149999,0.001,0.001,3,1,0,0,20.82144056,18.71573324,19.24032241,18.38467995,GAMA,0.3015,-9.999,1.58111815,2.10570732,2.43676061,0.52458917,0.85564246,0.33105329,104675098
34.852238,-5.904438,104692712,0.12632,0.12632,0.10667598,0.10911805,0.00154448,0.0014559,3,1,0,0,17.86166702,16.49292983,16.89698202,16.19150464,GAMA,0.09136,-9.999,0.964685,1.36873719,1.67016238,0.40405219,0.70547738,0.30142519,118642302
35.098941,-6.682997,105488468,0.03238,0.03238,0.03238,0.03238,0.001,0.001,3,1,0,0,19.78100542,19.57742966,19.60030609,19.49468577,GAMA,0.03238,-9.999,0.18069933,0.20357576,0.28631965,0.02287643,0.10562032,0.08274389,114430157
34.889047,-5.88017,104692267,0.09108,0.09108,0.09108,0.09108,0.001,0.001,3,1,0,0,18.9993481,17.77207129,18.11350964,17.51305569,GAMA,0.09108,-9.999,0.88583846,1.22727681,1.48629241,0.34143835,0.60045395,0.2590156,101801427
35.299344,-6.647087,105486766,0.23596001,0.24483,0.24039853,0.24150716,0.00893626,0.00755685,3,1,0,0,19.89764457,18.06673506,18.50621247,17.77045538,GAMA,0.26465,-9.999,1.3914321,1.83090951,2.12718919,0.43947741,0.73575709,0.29627968,110127578
35.261615,-5.996733,112119989,0.30546999,0.25816,0.27160153,0.27171123,0.01580438,0.0167424,3,1,0,0,20.39546185,18.56601702,19.02099801,18.28505688,GAMA,0.29186,-9.999,1.37446384,1.82944483,2.11040497,0.45498099,0.73594113,0.28096014,117425880
36.009367,-5.862092,116105798,0.32534,0.32534,0.32534,0.32534,0.001,0.001,3,1,0,0,21.0322706,19.03484695,19.52071375,18.75430654,GAMA,0.32534,-9.999,1.51155685,1.99742365,2.27796406,0.4858668,0.76640721,0.28054041,101803193
35.705586,-6.967673,114428378,0.33319399,0.33319399,0.32183105,0.32825142,0.03739362,0.03340725,3,1,0,0,20.46814101,19.17866146,19.55435745,18.85730336,GAMA,0.32137,-9.999,0.91378356,1.28947955,1.61083765,0.37569599,0.69705409,0.3213581,116108515
35.171728,-7.058556,104421048,0.23086999,0.23086999,0.23086999,0.23086999,0.001,0.001,3,1,0,0,20.31892282,18.60351351,19.0384065,18.32451359,GAMA,0.23087,-9.999,1.28051632,1.71540931,1.99440923,0.43489299,0.71389291,0.27899992,151941060
35.740397,-6.055997,111762345,0.08467,0.08467,0.08467,0.08467,0.001,0.001,3,1,0,0,19.43518314,18.89514397,19.07469457,18.83104571,GAMA,0.08467,-9.999,0.36048857,0.54003917,0.60413743,0.1795506,0.24364886,0.06409826,117454407
34.220183,-5.972998,151959341,0.125999,0.0809553,0.10778023,0.10769371,0.00528528,0.00509949,3,1,0,0,18.708316,18.10675681,18.3262854,18.04155726,GAMA,0.13262,-9.999,0.3820306,0.60155919,0.66675874,0.21952859,0.28472814,0.06519955,125239875
34.622239,-6.386346,105472834,0.0427,0.0427,0.0427,0.0427,0.001,0.001,3,1,0,0,19.29742388,19.03946037,19.0825154,18.94064486,GAMA,0.0427,-9.999,0.21490848,0.25796351,0.35677902,0.04305503,0.14187054,0.09881551,101819292
34.921529,-5.883461,104692392,0.16384999,0.16384999,0.20225814,0.20113012,0.02616802,0.025726,3,1,0,0,20.25538522,19.50971869,19.73313467,19.43057324,GAMA,0.22023,-9.999,0.52225055,0.74566653,0.82481198,0.22341598,0.30256143,0.07914545,112112103
34.949532,-6.780892,104407437,0.31459999,0.31459999,0.3303,0.33989149,0.00852804,0.00782499,3,1,0,0,20.89664981,18.91472559,19.44326661,18.57777404,GAMA,0.35319,-9.999,1.4533832,1.98192422,2.31887577,0.52854102,0.86549257,0.33695155,121691230
35.401277,-7.192372,104427557,0.33043,0.33043,0.15489788,0.15385856,0.0059012,0.00512234,3,1,0,0,19.87242038,18.49329952,18.83985035,18.22038344,GAMA,0.17961,-9.999,1.03257003,1.37912086,1.65203694,0.34655083,0.61946691,0.27291608,125246199
35.61975,-5.949895,112117605,0.26515001,0.26515001,0.26815844,0.27299589,0.01200364,0.01086917,3,1,0,0,20.48869124,18.63072098,19.07770681,18.29306359,GAMA,0.37781,-9.999,1.41098443,1.85797026,2.19562765,0.44698583,0.78464322,0.33765739,110146417
34.853661,-5.953959,104696731,0.28227001,0.28227001,0.24043524,0.24218151,0.00906411,0.00686588,3,1,0,0,20.50534761,19.12489701,19.53664086,18.88359327,GAMA,0.29089,-9.999,0.96870675,1.3804506,1.62175434,0.41174385,0.65304759,0.24130374,121275135
34.834546,-5.95205,104696567,0.28942999,0.28942999,0.28942999,0.28942999,0.001,0.001,3,1,0,0,20.9203574,19.08368867,19.53954655,18.78422858,GAMA,0.28943,-9.999,1.38081085,1.83666873,2.13612882,0.45585788,0.75531797,0.29946009,118722628
34.305732,-5.910008,151955835,0.28619,0.28619,0.28619,0.28619,0.001,0.001,3,1,0,0,20.44870577,19.36003973,19.64632493,19.21674015,GAMA,0.28619,-9.999,0.80238084,1.08866604,1.23196562,0.2862852,0.42958478,0.14329958,112108818
34.836983,-5.872636,104691738,0.29409999,0.2491,0.21801892,0.20486549,0.0343101,0.02299959,3,1,0,0,19.53831034,18.16129645,18.56210656,17.9194132,GAMA,0.2565,-9.999,0.97620378,1.37701389,1.61889714,0.40081011,0.64269336,0.24188325,93886980
34.833996,-5.871648,104691767,0.23314101,0.18693399,0.21374257,0.2128503,0.00973194,0.01005332,3,1,0,0,19.33800282,17.83502142,18.24479399,17.56986608,GAMA,0.21146,-9.999,1.09320883,1.5029814,1.76813674,0.40977257,0.67492791,0.26515534,121690958
35.55852,-7.096293,114434770,0.0706,0.29438999,0.25617081,0.25073662,0.02705861,0.01845427,3,1,0,0,20.20436181,19.4852368,19.63546768,19.31587782,GAMA,0.30185,-9.999,0.56889413,0.71912501,0.88848399,0.15023088,0.31958986,0.16935898,104675329
35.11008,-6.000026,104699370,0.30757999,0.30757999,0.31157747,0.30892232,0.00898919,0.00587636,3,1,0,0,20.79576437,18.90147573,19.42589696,18.58203759,GAMA,0.27557,-9.999,1.36986741,1.89428864,2.21372678,0.52442123,0.84385937,0.31943814,92327423
35.136863,-5.893892,104693173,0.458489,0.43189999,0.39966077,0.39954761,0.02218583,0.01830457,3,1,0,0,21.36844167,19.07680653,19.63332114,18.70246418,GAMA,0.44184,-9.999,1.73512053,2.29163514,2.66597749,0.55651461,0.93085696,0.37434235,116095154
35.284645,-6.843867,104410311,0.13844,0.13844,0.13844,0.13844,0.001,0.001,3,1,0,0,19.32269833,17.92051681,18.31171024,17.63204012,GAMA,0.13844,-9.999,1.01098809,1.40218152,1.69065821,0.39119343,0.67967012,0.28847669,93867432
34.341549,-5.9672,151959154,0.25977001,0.25977001,0.25977001,0.25977001,0.001,0.001,3,1,0,0,20.75629765,18.96211484,19.40424642,18.67815038,GAMA,0.25977,-9.999,1.35205123,1.79418281,2.07814727,0.44213158,0.72609604,0.28396446,89276489
35.231263,-5.93827,112116485,0.0657044,0.0657044,0.05125002,0.05652728,0.00900524,0.00494307,3,1,0,0,18.14839649,17.49065951,17.65772793,17.37157408,GAMA,0.04813,-9.999,0.49066856,0.65773698,0.77682241,0.16706842,0.28615385,0.11908543,118653097
35.617129,-6.866565,114423147,0.21683601,0.21683601,0.21109387,0.2115979,0.01277092,0.01158933,3,1,0,0,20.02851765,18.35540069,18.78303505,18.05512514,GAMA,0.20715,-9.999,1.2454826,1.67311696,1.97339251,0.42763436,0.72790991,0.30027555,89257383
35.650253,-6.419613,111782617,0.25218001,0.25218001,0.25218001,0.25218001,0.001,0.001,3,1,0,0,19.92227596,19.19598565,19.43585604,19.16027858,GAMA,0.25218,-9.999,0.48641992,0.72629031,0.76199738,0.23987039,0.27557746,0.03570707,92321677
34.465312,-5.902308,104693667,0.107254,0.107254,0.12597395,0.12738281,0.01480391,0.01266284,3,1,0,0,19.58270124,18.46822352,18.80439671,18.23948081,GAMA,0.10139,-9.999,0.77830453,1.11447772,1.34322043,0.33617319,0.5649159,0.22874271,104669174
34.922456,-5.910574,104694137,0.18946999,0.30452001,0.26911283,0.26828352,0.01633128,0.01301231,3,1,0,0,20.59803301,19.00541717,19.49328835,18.65547074,GAMA,0.51349,-9.999,1.10474466,1.59261584,1.94256227,0.48787118,0.83781761,0.34994643,114216066
35.351756,-6.110684,111765708,0.23402999,0.23402999,0.23402999,0.23402999,0.001,0.001,3,1,0,0,19.87425937,18.77614708,19.14540601,18.60043448,GAMA,0.23403,-9.999,0.72885336,1.09811229,1.27382489,0.36925893,0.54497153,0.1757126,110150246
35.520455,-6.85382,114422590,0.25156,0.25156,0.25156,0.25156,0.001,0.001,3,1,0,0,20.48899584,19.14895825,19.59462231,18.97751555,GAMA,0.25156,-9.999,0.89437353,1.34003759,1.51148029,0.44566406,0.61710676,0.1714427,121690264
35.430693,-6.242851,111772533,0.30081001,0.30081001,0.24612455,0.24334598,0.00819743,0.00733898,3,1,0,0,20.15752398,18.42191569,18.87193481,18.11874519,GAMA,0.23705,-9.999,1.28558917,1.73560829,2.03877879,0.45001912,0.75318962,0.3031705,104679291
35.667939,-7.29997,114445281,0.21063,0.21063,0.20640646,0.20680869,0.01104502,0.01289668,3,1,0,0,19.3075179,17.91852754,18.34475106,17.66676705,GAMA,0.25341,-9.999,0.96276684,1.38899036,1.64075085,0.42622352,0.67798401,0.25176049,92316060
35.021888,-5.975197,104697954,0.29370001,0.29370001,0.29197621,0.29065636,0.02152156,0.01943942,3,1,0,0,20.63935943,19.17133227,19.55817281,18.88884914,GAMA,0.17359,-9.999,1.08118662,1.46802716,1.75051029,0.38684054,0.66932367,0.28248313,105465895
34.827089,-6.664712,105487502,0.16016001,0.173062,0.15591259,0.1569643,0.02397231,0.02128568,3,1,0,0,19.73812562,18.84371909,19.13442571,18.6853371,GAMA,0.15687,-9.999,0.60369991,0.89440653,1.05278852,0.29070662,0.44908861,0.15838199,111764146
35.392827,-7.020537,104419043,0.231341,0.231341,0.22905862,0.22781844,0.02155062,0.01745646,3,1,0,0,19.43389093,17.84597683,18.28592003,17.57263391,GAMA,0.26794,-9.999,1.1479709,1.5879141,1.86125702,0.4399432,0.71328612,0.27334292,118719255
35.117747,-6.9217,104414272,0.32878,0.33419999,0.3302694,0.32520816,0.03192527,0.02721944,3,1,0,0,20.62410666,19.22272051,19.61214437,18.91028103,GAMA,0.35394,-9.999,1.01196229,1.40138615,1.71382563,0.38942386,0.70186334,0.31243948,110472731
36.025461,-6.27553,111774570,0.3441,0.3441,0.37193879,0.38253915,0.01351114,0.01219245,3,1,0,0,20.89225506,18.99570456,19.54068795,18.68776147,GAMA,0.23449,-9.999,1.35156711,1.8965505,2.20449359,0.54498339,0.85292648,0.30794309,92322851
